Token,Frequency
??2@YAPAXI@Z,21
kernel32.dll.VirtualAllocEx,20
netsh wlan show profile,20
System.IO.File::WriteAllBytes,20
Microsoft.Win32.RegistryKey::DeleteValue,20
System.Management.ManagementObjectSearcher::ctor,20
System.Management.ManagementObjectCollection::GetEnumerator,20
#142,20
System.IO.Path::GetTempFileName,20
System.Net.Sockets.Socket::Send,19
c ver,19
System.IO.DirectoryInfo::GetFiles,19
System.IO.Directory::Delete,18
svchost.exe svchost.exe ENABLE,18
System.Diagnostics.Process::GetProcessById,18
c wevtutil cl application,17
c wevtutil cl system,17
System.Reflection.Assembly::GetManifestResourceStream,17
System.Drawing.Graphics::CopyFromScreen,17
System.Text.RegularExpressions.Regex::Match,17
System.Diagnostics.Process::GetProcessesByName,17
kernel32.dll.CreateProcessA,17
System.Security.Principal.WindowsPrincipal::IsInRole,17
System.Net.WebClient::DownloadString,17
System.Net.Sockets.Socket::ctor,17
maxsize=401MB,16
kernel32.dll.GetSystemTimeAsFileTime,16
kernel32.dll.FindFirstFileA,16
System.IO.Path::GetExtension,16
System.IO.DirectoryInfo::GetDirectories,16
c wevtutil cl security,16
System.Diagnostics.Process::GetCurrentProcess,16
System.Net.WebRequest::Create,16
shell32.dll.ShellExecuteW,15
System.IO.File::SetAttributes,15
System.Net.Dns::GetHostAddresses,15
System.Windows.Forms.Clipboard::SetText,15
samlib.dll.SamConnect,15
kernel32.dll.GetSystemDirectoryW,15
timeout  5,14
netsh advfirewall firewall set rule group=Network Discovery new enable=Yes,14
ping  127.0.0.1,14
System.Text.RegularExpressions.Regex::Replace,14
System.IO.File::Move,14
System.Windows.Forms.Clipboard::GetText,14
kernel32.dll.WriteConsoleW,14
System.IO.Directory::GetDirectories,14
oleaut32.dll.OleLoadPictureEx,13
mode  con cp select=1251,13
??_U@YAPAXI@Z,13
I opssvc wrsa,13
System.Net.Sockets.TcpClient::ctor,13
System.Text.RegularExpressions.Regex::IsMatch,13
System.Reflection.MethodBase::Invoke,13
user32.dll.SendMessageW,13
drprov.dll.NPAddConnection,13
drprov.dll.NPAddConnection3,13
drprov.dll.NPCancelConnection,13
drprov.dll.NPGetConnection,13
ntlanman.dll.NPAddConnection,13
ntlanman.dll.NPAddConnection3,13
ntlanman.dll.NPCancelConnection,13
ntlanman.dll.NPGetConnection,13
ntlanman.dll.NPGetConnection3,13
ntlanman.dll.NPGetConnectionPerformance,13
kernel32.dll.SetConsoleMode,13
kernel32.dll.GetDriveTypeW,13
maxsize=unbounded,13
RL HIGHEST,12
net1  session,12
System.Net.WebClient::DownloadData,12
set {current} bootstatuspolicy ignoreallfailures,12
kernel32.dll.LoadLibraryExW,12
davclnt.dll.NPAddConnection,12
davclnt.dll.NPAddConnection3,12
davclnt.dll.NPCancelConnection,12
davclnt.dll.NPGetConnection,12
System.IO.DriveInfo::GetDrives,12
powershell Add-MpPreference -ExclusionPath C:,12
c wbadmin DELETE SYSTEMSTATEBACKUP -deleteOldest,11
x -standby-timeout-dc 0,11
net  session,11
System.CodeDom.Compiler.CodeDomProvider::CompileAssemblyFromSource,11
kernel32.dll.SetFileAttributesW,11
wminet_utils.dll.ConnectServerWmi,11
Trojan.exe Trojan.exe ENABLE,11
Microsoft.Win32.RegistryKey::GetSubKeyNames,11
ping  127.0.0.1 -n 39,11
c wbadmin DELETE SYSTEMSTATEBACKUP,10
set {default} recoveryenabled no & wbadmin delete catalog -quiet,10
C net session,10
x -hibernate-timeout-ac 0,10
grant administrators:F,10
x -hibernate-timeout-dc 0,10
x -standby-timeout-ac 0,10
S-1-5-19,10
Microsoft.Win32.RegistryKey::DeleteSubKey,10
ws2_32.dll.WSAConnect,10
shell32.dll.ShellExecuteExW,10
duser.dll.DUserSendEvent,10
user32.dll.SendMessageA,10
shell32.dll.ShellExecuteA,10
#218,10
#217,10
#251,10
#207,10
#209,10
#211,10
#212,10
#213,10
#214,10
Microsoft.Win32.RegistryKey::OpenBaseKey,10
System.Threading.Tasks.Task::ctor,10
System.Net.Sockets.Socket::EndReceive,10
System.Net.Sockets.Socket::BeginReceive,10
x -monitor-timeout-dc 0,9
x -monitor-timeout-ac 0,9
setactive 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,9
grant Everyone:RX,9
remove:d Everyone Administrators,9
setowner SYSTEM,9
chargeable.exe chargeable.exe ENABLE,9
System.Text.RegularExpressions.Regex::Matches,9
System.Security.Cryptography.MD5::Create,9
timeout  1,9
kernel32.dll.CreateMutexA,9
#234,9
kernel32.dll.FreeLibraryWhenCallbackReturns,9
kernel32.dll.WriteProcessMemory,9
System.IO.File::GetCreationTime,9
System.Net.NetworkCredential::ctor,9
System.IO.Directory::Move,9
System.Reflection.Assembly::GetTypes,9
Microsoft.Win32.Registry::GetValue,9
System.IO.Path::GetRandomFileName,9
System.Net.WebRequest::GetResponse,9
timeout 4,9
c wbadmin delete catalog -quiet,8
accounts.google.com,8
Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},8
ntdll.dll.NtOpenFile,8
user32.dll.SendInput,8
System.Net.NetworkInformation.NetworkInterface::GetIPProperties,8
kernel32.dll.ReadProcessMemory,8
kernel32.dll.CreatePipe,8
System.Runtime.InteropServices.Marshal::AllocHGlobal,8
System.IO.File::SetLastWriteTime,8
System.Security.Cryptography.SHA256Managed::ctor,8
Microsoft.Win32.RegistryKey::DeleteSubKeyTree,8
System.IO.File::GetAttributes,8
System.Diagnostics.FileVersionInfo::GetVersionInfo,8
c tasklist,8
c:6.1.7601,8
v EnableLUA,8
"Mode  79,49",8
i 0x0,8
RL HIGHEST & exit,7
ping  127.0.0.1 -n 37,7
nircmd  win min process cmd,7
www.youtube.com,7
ping  localhost -n 5,7
Microsoft.Win32.RegistryKey::GetValueNames,7
mo 1,7
ping  127.0.0.1 -n 2,7
sc  stop WinDefend,7
System.Windows.Forms.Application::Exit,7
* & exit,7
im sql*,7
System.Windows.Forms.SendKeys::SendWait,7
#cmd,7
wbadmin DELETE SYSTEMSTATEBACKUP -keepVersions:0,7
kernel32.dll.GetSystemTime,7
wininet.dll.InternetReadFile,7
kernel32.dll.DeviceIoControl,7
System.Xml.XmlDocument::Load,7
System.Net.Sockets.Socket::SendTo,7
System.IO.File::GetLastWriteTime,7
System.IO.File::SetCreationTimeUtc,7
System.IO.File::SetLastAccessTimeUtc,7
System.Windows.Forms.Clipboard::ContainsText,7
System.Management.ManagementClass::ctor,7
System.IO.File::GetLastAccessTime,7
System.IO.File::SetLastWriteTimeUtc,7
WindowsServices.exe WindowsServices.exe ENABLE,7
net  stop SQLBrowser,7
net  stop SQLWriter,7
net1  stop SQLBrowser,7
net1  stop SQLWriter,7
C:[ ]:[ ],6
netsh  wlan show profiles,6
ping  127.0.0.1 -n 38,6
explorer.exe explorer.exe ENABLE,6
Microsoft.CSharp.CSharpCodeProvider::ctor,6
wmic os get Caption,6
user32.dll.CallNextHookEx,6
Dllhost.exe Dllhost.exe ENABLE,6
anydesk.exe.exe,6
System.IO.FileInfo::CopyTo,6
System.Net.NetworkInformation.NetworkInterface::GetPhysicalAddress,6
System.Text.RegularExpressions.Regex::Split,6
#116,6
System.Security.Cryptography.ProtectedData::Unprotect,6
System.Windows.Forms.Clipboard::GetFileDropList,6
System.Windows.Forms.Clipboard::ContainsFileDropList,6
System.Threading.Mutex::OpenExisting,6
System.Security.Cryptography.SHA1Managed::ctor,6
sc  stop wuauserv,6
sc  delete MSSQLFDLauncher,6
kernel32.dll.CreateSemaphoreW,6
System.Runtime.InteropServices.Marshal::GetDelegateForFunctionPointer,6
c net stop SQLWriter,6
c net stop SQLBrowser,6
route  print,5
net  start,5
netstat  -ano,5
c netstat -ano,5
arp  -A,5
c route print,5
netsh  firewall show config,5
c netsh firewall show config,5
c net start,5
net1  users,5
c systeminfo,5
net  config Workstation,5
c hostname,5
net1  start,5
netsh  firewall show state,5
c net users,5
net1  config Workstation,5
c arp -A,5
c net config Workstation,5
c DRIVERQUERY,5
net  users,5
c netsh firewall show state,5
??_V@YAXPAX@Z,5
net1 helpmsg 11,5
set {current} recoveryenabled no,5
kernel32.dll.WinExec,5
net  start DownloaderService,5
net1  start DownloaderService,5
c net start DownloaderService,5
System.Net.NetworkInformation.NetworkInterface::GetAllNetworkInterfaces,5
System.IO.File::ReadAllLines,5
c wbadmin DELETE SYSTEMSTATEBACKUP -keepVersions:0,5
$Recycle,5
attrib +h,5
c rem Kill SQL,5
wininet.dll.InternetOpenUrlA,5
NVIDIA Container,5
System.Windows.Forms.Clipboard::Clear,5
sc  delete WinDefend,5
sc  stop Sense,5
sc  config Sense start= disabled,5
mscoree.dll.CorExitProcess,5
mscoreei.dll.CorExitProcess,5
??3@YAXPAX@Z,5
kernel32.dll.SetThreadContext,5
nslookup emsisoft.bit dns1.soprodns.ru,5
wmic  path win32_VideoController get name,5
C wmic path win32_VideoController get name,5
C wmic cpu get name,5
wmic  cpu get name,5
wevtutil  cl application,4
wevtutil  cl system,4
System.IO.File::WriteAllLines,4
gmp-clearkey,4
en-US,4
META-INF,4
ping  127.0.0.1 -n 49,4
gecko-crash-server-pipe,4
t 10,4
System.Reflection.Assembly::GetType,4
shell32.dll.ShellExecuteEx,4
rasapi32.dll.RasEnumConnectionsW,4
rasapi32.dll.RasConnectionNotificationW,4
im msaccess*,4
im veeam*,4
im powerpnt*,4
im wuauclt*,4
im winword*,4
im outlook*,4
im mysq*,4
im oracle*,4
im firefox*,4
im excel*,4
im onenote*,4
System.Security.Cryptography.SHA256::Create,4
svhost.exe svhost.exe ENABLE,4
System.Web.Script.Serialization.JavaScriptSerializer::Deserialize,4
#500,4
_DllBidFinalize@0,4
_DllBidEntryPoint@36,4
_DllBidInitialize@0,4
_DllBidCtlProc@24,4
powershell  Set-MpPreference -DisableRealtimeMonitoring $true,4
c powershell Set-MpPreference -DisableRealtimeMonitoring $true,4
netsh  wlan show networks mode=bssid,4
7ZSfx000,4
im taskmgr,4
Windows Defender,4
System.IO.File::AppendAllText,4
im mysql*,4
net1 stop mr2kserv,4
net1 stop SPWriterV4,4
net1 stop QuickBooksDB5,4
net1 stop IBM Domino Server(CProgramFilesIBMDominodata),4
net1 stop SQLAgent$ISARS,4
net1 stop QuickBooksDB7,4
net1 stop Simply Accounting Database Connection Manager,4
net1 stop SQLWriter,4
sc  stop UsoSvc,4
sc  stop WaaSMedicSvc,4
ping  127.0.0.1 -n 35,4
i Windows 7,4
v ProductName,4
timeout  20,4
kernel32.dll.ConnectNamedPipe,4
S-8459,4
fo csv,4
i original,4
i dcdcf,4
i os name,4
S-6748,4
c echo  %date%-%time%,4
&S-2153,4
kernel32.dll.Toolhelp32ReadProcessMemory,4
08166e7eccff8c65d606d04862bdc106,4
IM RaccineSettings,4
"powershell.exe Test-Connection 8.8.8.8, 8.8.4.4, time.google.com",4
findstr  All,4
netsh  wlan show profile,4
net  stop MSSQLServerADHelper100,4
net1  stop MSSQLServerADHelper100,4
wbadmin  DELETE SYSTEMSTATEBACKUP,4
31839b57a4f11171d6abc8bbc4451ee4,4
im KasperskyService,3
im ResponseService,3
im PccNTMon,3
im NortonSecurity,3
im tmwscsvc,3
im vastsvc,3
im iVPAgent,3
im McAfeeFramework,3
c powershell,3
im SophosSAU,3
im SupportConnector,3
im AOTAgent,3
im avgsvc,3
im CETASvc,3
name.exe:Zone.Identifier,3
sc  config AppCheck start=disabled,3
C sc config AppCheck start=disabled,3
ping  127.0.0.1 -n 41,3
tn MicrosoftEdgeUpdateTaskMachineCore64,3
t 15,3
Internet Explorer,3
27D6E0EC-937C-4170-B051-1D56FF0806DB,3
1wbVZkk,3
System.Net.Sockets.Socket::Receive,3
3610022385 188,3
ping  0 -n 2,3
sc  delete VSS,3
hurr-durr,3
im chrome*,3
timeout  10,3
IM cmd,3
powershell.exe sc.exe stop wuauserv,3
powershell.exe sc.exe config wuauserv start=disabled,3
ping  -n 5 localhost,3
c timeout 1,3
winsta.dll.WinStationSendWindowMessage,3
WHKzW2nr -UseBasicParsing),3
Runtime Broker,3
c cls,3
wininet.dll.InternetGetConnectedState,3
ping  127.0.0.1 -n 6,3
SYS 1,3
ar-SA,3
Program Files (x86),3
Program Files,3
ja-JP,3
Debugging Tools for Windows (x64),3
bg-BG,3
Microsoft Visual C++ 2010  x64 Redistributable Setup_10.0.30319,3
FE28C962-CA42-4BF6-A5F8-A9AB8719F4E8,3
bin-debug,3
lt-LT,3
es-ES,3
Common Files,3
de-DE,3
DVD Maker,3
pip-1wrh7x-uninstall,3
hu-HU,3
he-IL,3
fr-FR,3
ko-KR,3
Reader 11,3
fi-FI,3
ping  127.0.0.1 -n 16,3
mpr.dll.WNetGetConnectionW,3
System.Windows.Forms.Clipboard::GetDataObject,3
System.IO.DirectoryInfo::Delete,3
ping  127.0.0.1 -n 10,3
user32.dll.SendMessageTimeoutA,3
im bes10*,3
im iVPAgent*,3
im wrsa*,3
im black*,3
im postg*,3
im store,3
im Notifier*,3
im TmListen*,3
im Ntrtscan*,3
im wrsa,3
im copy*,3
im ds_monitor*,3
im dsa*,3
im CNTAoSMgr*,3
im vee*,3
im sage*,3
im IBM*,3
im robo*,3
net1 stop ReportServer$ISARS,3
net1 stop QuickBooksDB3,3
net1 stop MSSQL$ISARS,3
net1 stop MSExchangeSA,3
net1 stop QuickBooksDB18,3
net1 stop QuickBooksDB21,3
net1 stop SPUserCodeV4,3
net1 stop SPSearch4,3
net1 stop QuickBooksDB13,3
net1 stop QuickBooksDB19,3
net1 stop QuickBooksDB16,3
net1 stop IISADMIN,3
net1 stop QuickBooksDB11,3
net1 stop QuickBooksDB1,3
net1 stop SQLAgent$MSFW,3
net1 stop QBVSS,3
net1 stop QuickBooksDB25,3
net1 stop QuickBooksDB2,3
net1 stop ibmiasrw,3
net1 stop QuickBooksDB4,3
net1 stop SPTimerV4,3
net1 stop QuickBooksDB17,3
net1 stop QuickBooksDB9,3
net1 stop QuickBooksDB8,3
net1 stop ShadowProtectSvc,3
net1 stop QuickBooksDB22,3
net1 stop MSExchangeADTopology,3
net1 stop SPAdminV4,3
net1 stop SQLBrowser,3
net1 stop MSSQLServerADHelper100,3
net1 stop MSSQL$MSFW,3
net1 stop MSExchangeIS,3
net1 stop QuickBooksDB20,3
net1 stop QBPOSDBServiceV12,3
net1 stop IBM Domino Diagnostics(CProgramFilesIBMDomino),3
net1 stop QuickBooksDB12,3
net1 stop firebirdguardiandefaultinstance,3
net1 stop QuickBooksDB10,3
net1 stop MSExchangeFBA,3
net1 stop QBCFMonitorService,3
net1 stop QuickBooksDB23,3
net1 stop SPTraceV4,3
net1 stop QuickBooksDB6,3
net1 stop WinDefend,3
net1 stop QuickBooksDB14,3
net1 stop QuickBooksDB15,3
net1 stop QuickBooksDB24,3
sc  config wuauserv start= disabled,3
sc  stop DoSvc,3
sc  stop BITS,3
sc  stop WdBoot,3
sc  config SecurityHealthService start= disabled,3
sc  config MDCoreSvc start= disabled,3
sc  config SgrmBroker start= disabled,3
sc  delete SecurityHealthService,3
sc  delete MsSecWfp,3
sc  config webthreatdefsvc start= disabled,3
sc  start VMTools,3
sc  config MsSecFlt start= disabled,3
sc  delete WdNisDrv,3
sc  config WinDefend start= disabled,3
sc  stop WdNisDrv,3
sc  delete MsSecCore,3
sc  config webthreatdefusersvc start= disabled,3
sc  stop MDCoreSvc,3
sc  delete webthreatdefusersvc,3
sc  delete wscsvc,3
sc  config MsSecCore start= disabled,3
sc  stop MsSecWfp,3
sc  stop wscsvc,3
sc  config wscsvc start= disabled,3
sc  config WdBoot start= disabled,3
sc  config MsSecWfp start= disabled,3
sc  stop MsSecFlt,3
sc  stop WdNisSvc,3
sc  delete Sense,3
sc  stop MsSecCore,3
sc  config WdNisSvc start= disabled,3
sc  config SgrmAgent start= disabled,3
sc  delete SgrmAgent,3
sc  delete SgrmBroker,3
sc  delete WdFilter,3
sc  delete WdNisSvc,3
sc  delete MDCoreSvc,3
sc  delete webthreatdefsvc,3
sc  stop WdFilter,3
sc  delete MsSecFlt,3
sc  stop webthreatdefusersvc,3
sc  config WdNisDrv start= disabled,3
sc  stop SecurityHealthService,3
sc  stop webthreatdefsvc,3
sc  delete WdBoot,3
sc  stop SgrmBroker,3
sc  config WdFilter start= disabled,3
sc  stop SgrmAgent,3
System.Net.WebClient::DownloadFileAsync,3
c timeout 20,3
System.Reflection.Emit.ILGenerator::Emit,3
73015b3208cdee70a4497235463b63d7,3
sc  stop windefend,3
kernel32.dll.OutputDebugStringA,3
setupapi.dll.SetupOpenFileQueue,3
wevtutil  cl security,3
ping  127.0.0.1 -n 36,3
System.IO.DirectoryInfo::Create,3
Microsoft.Win32.RegistryKey::GetValueKind,3
System.IO.Directory::EnumerateDirectories,3
c  systeminfo,3
c wmic csproduct get uuid,3
System32.exe System32.exe ENABLE,3
chcp  1251,3
Program-Telemetry,3
SATA-LPM,3
c wevtutil,3
Program-Inventory,3
Catalog Database Debug,3
Program-Compatibility-Troubleshooter,3
ProtectedUser-Client,3
MSI and Script,3
Problem-Steps-Recorder,3
Program-Compatibility-Assistant,3
EXE and DLL,3
ping  127.0.0.1 -n 42,3
net  stop MSSQL$CONTOSO1,3
c net stop MSSQLSERVER,3
c net stop MSSQL$CONTOSO1,3
net1  stop MSSQLSERVER,3
c net stop vds,3
net  stop vds,3
c netsh advfirewall set  currentprofile state off,3
c net stop MSDTC,3
net1  stop MSSQL$CONTOSO1,3
net1  stop vds,3
net  stop SQLSERVERAGENT,3
net  stop MSSQLSERVER,3
c net stop SQLSERVERAGENT,3
net1  stop MSDTC,3
net1  stop SQLSERVERAGENT,3
netsh  advfirewall set  currentprofile state off,3
c netsh firewall set opmode mode=disable,3
net  stop MSDTC,3
findstr  bdservicehost SophosHealth AvastUI AVGUI nsWscSvc ekrn,3
Processid:{F9717507-6651-4EDB-BFF7-AE615179BCCF},3
5a59fa2cb2f515fe955e94c69f35ae0b,3
c pause,3
t 300,3
ping  127.0.0.1 -n 19,3
??2@YAPEAX_K@Z,3
System.Net.WebRequest::GetRequestStream,3
System.IO.Stream::Write,3
System.IO.Stream::Close,3
System.Net.WebRequest::GetSystemWebProxy,3
net1  stop MSSQL$MSFW,3
c taskkill -f -im SQLAGENT,3
c net stop MSSQL$MSFW,3
taskkill  -f -im SQLAGENT,3
c taskkill -f -im MsDtsSrvr,3
c taskkill -f -im sqlbrowser,3
c taskkill -f -im msmdsrv,3
net  stop SQLAgent$MSFW,3
c taskkill -f -im fdhost,3
taskkill  -f -im msftesql,3
c taskkill -f -im pg_ctl,3
taskkill  -f -im pg_ctl,3
c taskkill -f -im msftesql,3
taskkill  -f -im Ssms,3
c net stop SQLAgent$ISARS,3
taskkill  -f -im sqlceip,3
net  stop MSSQL$MSFW,3
taskkill  -f -im ReportingServicesService,3
c taskkill -f -im Ssms,3
taskkill  -f -im MsDtsSrvr,3
taskkill  -f -im fdhost,3
net1  stop MSSQL$ISARS,3
taskkill  -f -im fdlauncher,3
net  stop SQLAgent$ISARS,3
taskkill  -f -im sqlbrowser,3
c taskkill -f -im fdlauncher,3
net1  stop SQLAgent$ISARS,3
c net stop MSSQLServerADHelper100,3
c taskkill -f -im sqlceip,3
c net stop MSSQL$ISARS,3
net1  stop SQLAgent$MSFW,3
net  stop MSSQL$ISARS,3
c net stop SQLAgent$MSFW,3
taskkill  -f -im msmdsrv,3
c taskkill -f -im ReportingServicesService,3
3a372b04b95323b72c2b2f9a5d24e67b,3
c wbadmin DELETE BACKUP -deleteOldest,3
c wbadmin DELETE BACKUP -keepVersions:0,3
6810a1cc40329a394b9d73b5f8dac744,3
c echo Y,2
wevtutil  cl securit,2
c wevtutil cl securit,2
im powerpnt,2
nologo c,2
!WannaDecryptor!,2
im Microsoft.Exchange.*,2
im sqlserver,2
im sqlwriter,2
im MSExchange*,2
RuntimeBroker.exe RuntimeBroker.exe ENABLE,2
DmiProvider.dll.mui,2
c cmd < Advisory,2
3b737a890f5386429c64610ce665ac16,2
format:value,2
olepro32.dll.OleCreatePropertyFrame,2
olepro32.dll.OleCreateFontIndirect,2
olepro32.dll.OleCreatePictureIndirect,2
olepro32.dll.OleLoadPicture,2
4725870a87b22ccafa86dd3677fc153d,2
sc  config WinDefend start=disabled,2
c sc config WinDefend start=disabled > nul 2>&1,2
c sc stop WinDefend > nul 2>&1,2
powershell  set-mppreference -exclusionpath C:,2
6olpur0,2
c cmd < Conditions,2
1NjnoxK,2
Y Tackle.jpg *.*,2
T 5 MWpZLDzF,2
V upskirt Alarm,2
IM wscript,2
I$s#$lT3ssl,2
timeout  4,2
Google Chrome,2
IM Exsample,2
c attrib +h +s ryuk,2
attrib  +h +s ryuk,2
Ultimate-Crack-Pack,2
msconfig.exe.exe -PropertyType String,2
sc  description RENCdev Recovery Driver Host,2
c sc start RENCdev,2
c sc description RENCdev Recovery Driver Host,2
sc  start RENCdev,2
9158855f9fbe9fbfd829c624851a836a,2
find  :,2
#system32,2
d1fc5069b85674ad5c83},2
ping  127.0.0.1 -n 9,2
Microsoft Office,2
pt-PT,2
Windows Mail,2
pt-BR,2
Microsoft SDKs,2
Windows Journal,2
7zS8E8ED276,2
Office Setup Controller,2
cs-CZ,2
vast limits,2
Microsoft Visual Studio 8,2
et-EE,2
microsoft shared,2
lv-LV,2
Microsoft Visual C++ 2010  x86 Redistributable Setup_10.0.30319,2
Microsoft Works,2
Windows Media Player,2
hr-HR,2
Reference Assemblies,2
pl-PL,2
it-IT,2
Outlook Logging,2
pip-req-tracker-1_8svb,2
nb-NO,2
nl-NL,2
da-DK,2
el-GR,2
ping  127.0.0.1 -n 21,2
System.IO.File::SetCreationTime,2
System.IO.Compression.ZipFile::CreateFromDirectory,2
Extreme Injector v3,2
MSBuild.exe Purecrypter.exe,2
ping  127.0.0.1 -n 40,2
VC_redist.x64.exe,2
googelline.exe googelline.exe ENABLE,2
ping  -n 1 127.0.0.1,2
?linkid=120722,2
powershell -Command & { },2
netsh  advfirewall firewall Delete rule name=lets,2
$yaCommand,2
"mode  65,10",2
java -version,2
4d4f212232f6d946fc46d24ba5e82d4f,2
windows.exe windows.exe ENABLE,2
System.Reflection.Emit.DynamicMethod::ctor,2
System.Reflection.Emit.DynamicMethod::GetILGenerator,2
System.Reflection.Assembly::LoadWithPartialName,2
75ea6151a87a731103f634134670cddc,2
wininet.dll.HttpSendRequestW,2
wininet.dll.InternetConnectW,2
im notepad,2
@WanaDecryptor@,2
nologo m,2
findstr  SophosHealth bdservicehost AvastUI AVGUI nsWscSvc ekrn,2
nslookup carder.bit ns1.wowservers.ru,2
nslookup ransomware.bit ns2.wowservers.ru,2
nslookup carder.bit ns2.wowservers.ru,2
nslookup ransomware.bit ns1.wowservers.ru,2
C wmic shadowcopy delete,2
._cache_InstallUtil.exe,2
Users -ErrorAction Stop,2
advapi32.dll.CreateServiceA,2
mapi32.dll.MAPISendMail,2
user32.dll.SendNotifyMessageW,2
new enable=Yes,2
2TmLq5,2
FO CSV,2
COM Surrogate,2
powershell  -Command Set-MpPreference -DisableRealtimeMonitoring $true,2
1da55d04832476d77985ed27f4363766.exe 1da55d04832476d77985ed27f4363766.exe ENABLE,2
delete {current},2
svhosk.exe.exe,2
SolaraExecutor(1),2
Client-built,2
c sc delete WinDefend,2
c sc stop WinDefend,2
581ee2d254b8466346b367921bb45165,2
System.Reflection.Assembly::LoadFrom,2
Microsoft.VisualBasic.VBCodeProvider::ctor,2
System.IO.FileSystemInfo::Delete,2
ping  -n 3 127,2
Leaf.xNet.dll,2
wininet.dll.InternetConnectA,2
winmm.dll.mciSendStringA,2
TimeOut  1,2
Windows Start-Up Audio,2
PING  127.0.0.1 -n 2,2
findstr  Key,2
im cmd,2
4245bf56d28f22197a4b30b46c809626,2
Hellify Booster,2
im explorer,2
net1 helpmsg 10,2
sc  stop usosvc,2
sc  config windefend start= disabled,2
sc  config usosvc start= disabled,2
name.exe.bat,2
System.Net.WebClient::UploadData,2
System.Net.WebHeaderCollection::Add,2
Thermal-Diagnostic,2
Thermal-Operational,2
mode  con:cols=100 lines=15,2
wbadmin  DELETE SYSTEMSTATEBACKUP -deleteOldest,2
system.exe system.exe ENABLE,2
5827f37b00e545976b3295168c707873,2
net1  stop REportServer$ISARS,2
c taskkill -f -impostgres,2
set {default} recoverynabled No,2
c taskkill -f -im sqlserv,2
c taskkill -f -im sql writer,2
c wbadmin DELETE SYSTEMSTABACKUP -deleteOldest,2
net  stop REportServer$ISARS,2
taskkill  -f -im sql writer,2
wbadmin  DELETE SYSTEMSTABACKUP -deleteOldest,2
taskkill  -f -impostgres,2
c net stop REportServer$ISARS,2
c wbadmin delete backup -keepVersion:0 -quiet,2
taskkill  -f -im sqlserv,2
wbadmin  delete backup -keepVersion:0 -quiet,2
sc stop Microsoft Exchange Active Directory Toplogy,2
sc stop Microsoft Exchange Anti-spam Update,2
sc stop Microsoft Exchange Compliance Audit,2
sc stop Microsoft Exchange Compliance Service,2
sc stop Microsoft Exchange DAG Management,2
sc stop Microsoft Exchange Diagnostics,2
sc stop Microsoft Exchange EdgeSync,2
